User ID,User Name,Gender,Age Group,Country,Course ID,Course Name,Category,Enrollment Date,Completion Date,Completion Status,Course Rating,Time Spent (hrs),Final Score (%)
46c6efc4-09c0-4140-b5b4-c9255d33a1eb,Austin Brady,Other,45-54,USA,C1007,Business Course 8,Design,4/23/2025,,Dropped,,1.02,
2452f79b-be8b-4ac7-8e96-95543e30c44b,Olivia Bender,Female,45-55,UK,C1016,Technology Course 7,Technology,12/8/2023,3/5/2024,Completed,2,22.92,64.6
8ef13ac2-6078-4dfa-91ce-d2a5b2136742,David Ali,Male,45-56,Australia,C1007,Business Course 8,Design,8/17/2023,,In Progress,,4.56,
564e2859-f0b6-45e1-b097-c84a652208e0,Traci Richardson,Female,18-24,India,C1029,Design Course 10,Finance,5/19/2025,7/12/2025,Completed,1,5.08,82.05
7d6e4b0e-d06c-489e-b123-6c3afe0d8632,Jeremy White,Female,18-24,Canada,C1041,Finance Course 2,Technology,4/3/2024,6/7/2024,Completed,1,10.34,68.67
76234682-82a4-4c4d-9c25-c35a6e73bd52,Joanne Rodgers,Other,55+,USA,C1013,Technology Course 4,Marketing,3/1/2024,,In Progress,,2.84,
73c9ed2c-175e-4b04-8211-0a62bb98f294,Marcus Brady,Other,45-54,Canada,C1007,Business Course 8,Design,6/16/2024,,Dropped,,0.79,
31a52d88-2284-4d77-85fa-6440961405ad,Lisa Mcneil,Female,18-24,Canada,C1027,Design Course 8,Design,11/17/2023,12/11/2023,Completed,5,29.92,75.29
9a0c17fa-29cb-49c3-8ab5-4fa2ddca7db3,Tammy Little,Male,35-44,India,C1023,Design Course 4,Marketing,8/23/2023,9/7/2023,Completed,1,5.83,66.37
499753e6-a82d-405c-9f22-aea79e2ab819,Jaime Moore,Male,35-44,UK,C1023,Design Course 4,Marketing,1/16/2024,3/7/2024,Completed,5,22.4,60.83
bb5830db-50e1-4f52-96a5-90429400f43f,Patrick Hahn,Other,55+,India,C1017,Technology Course 8,Design,1/29/2025,,In Progress,,8.51,
6d5a98eb-1dc8-4cf0-a45d-da7912a028a6,Raymond Gillespie,Other,55+,India,C1027,Design Course 8,Design,5/6/2024,6/5/2024,Completed,3,28.43,75.43
12a18a78-fb61-4130-8c89-d32cac9a01b1,Rhonda Johnson,Other,35-44,Canada,C1004,Business Course 5,Finance,4/21/2025,,In Progress,,20.51,
f614e907-cc60-4eb5-8b56-840159b5551e,Mr. Connor Osborne,Male,55+,India,C1029,Design Course 10,Finance,9/3/2023,11/29/2023,Completed,1,14.96,73.95
12deff3d-eac1-4277-a591-f55d2e3ccd98,Jacob Miller,Other,55+,Australia,C1016,Technology Course 7,Technology,3/21/2025,5/30/2025,Completed,4,26.24,87.36
6ca33f98-eda5-41a5-8516-6d404852b09e,Lisa Roach,Female,18-24,Germany,C1019,Technology Course 10,Finance,12/8/2023,2/2/2024,Completed,2,7.82,62.48
1d6a2d39-625f-4ed3-9bdb-3f0e3f266b51,Christopher Serrano,Male,18-24,Canada,C1034,Marketing Course 5,Finance,12/4/2024,,Dropped,,4.29,
1f6a1d73-2873-4e94-b2e1-dbe50a09f6d3,Anthony Singh,Male,25-34,India,C1023,Design Course 4,Marketing,8/19/2023,,In Progress,,18.68,
cdf9e9b8-782a-4306-ac2a-a51601191f7d,Julie Maxwell,Male,25-34,India,C1018,Technology Course 9,Marketing,4/12/2024,5/20/2024,Completed,2,1,71.12
7b143f2c-91ed-414e-b34d-7ac242b01bba,John Warren,Other,45-54,Canada,C1034,Marketing Course 5,Finance,12/1/2024,2/22/2025,Completed,1,27.17,66.8
ba0da99b-b4b9-484c-88cc-f06d19f6e76a,Michael Scott,Other,45-54,Canada,C1012,Technology Course 3,Design,6/13/2023,,In Progress,,10.27,
d5e2a6e1-3353-4617-929f-6e82e665f886,Austin Hall,Female,25-34,Canada,C1037,Marketing Course 8,Design,9/19/2023,11/15/2023,Completed,1,24.51,99.52
70924710-df51-41a6-94d7-eb2385ebd940,Tiffany Aguilar,Female,55+,Canada,C1048,Finance Course 9,Marketing,5/23/2023,,In Progress,,26.18,
159e2ec3-6df0-4466-b77b-8824c410f496,Dr. Jesus Lamb,Other,55+,India,C1027,Design Course 8,Design,1/11/2025,,Dropped,,4.93,
f7ddda37-fe8e-4f0f-9688-c17bc62448b0,Amanda Benson,Male,35-44,India,C1040,Finance Course 1,Business,3/11/2025,5/8/2025,Completed,2,5.65,85.94
6126c5ab-de2e-4243-8778-145a6a8242ef,Bethany Jordan,Other,25-34,UK,C1005,Business Course 6,Business,4/24/2024,7/19/2024,Completed,3,25.92,83.51
d8074e70-5b92-4cb5-ac79-00d702b8b749,Keith Rowland,Other,25-34,USA,C1016,Technology Course 7,Technology,3/20/2025,,In Progress,,14.65,
b7d9fda2-50e3-4f6c-9e83-db8a425cbbb9,Samantha Adams,Male,18-24,Canada,C1015,Technology Course 6,Business,7/1/2024,9/8/2024,Completed,4,23.04,97.15
